ALGORITHM,unit,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY
LRG,GEO,6.76,3.19,3.63,3.68,4.47,3.17,3.09
RF,GEO,5.75,3.31,3.6,4.04,4.01,4.16,3.13
ABC,GEO,6.02,3.54,3.34,3.8,4.31,3.81,3.16
SVM,GEO,6.17,3.2,3.65,3.69,4.18,3.91,3.2
MLP,GEO,6.44,3.23,3.67,3.71,4.17,3.52,3.26
DTREE,GEO,5.79,3.41,3.57,4.05,3.94,3.9,3.33
SGD,GEO,6.35,3.19,3.56,3.61,4.22,3.67,3.4
KNN,GEO,5.93,3.35,3.71,3.69,3.78,3.94,3.59
avarage,GEO,6.15,3.3,3.59,3.79,4.14,3.76,3.27
std,GEO,0.59,0.31,0.19,0.26,0.38,0.46,0.17
