alphas,area_GEO,volume_GEO,area_volume_ratio_GEO,edge_ratio_GEO,radius_ratio_GEO,aspect_ratio_GEO,max_solid_angle_GEO,min_solid_angle_GEO,solid_angle_GEO,area_IBA,volume_IBA,area_volume_ratio_IBA,edge_ratio_IBA,radius_ratio_IBA,aspect_ratio_IBA,max_solid_angle_IBA,min_solid_angle_IBA,solid_angle_IBA
1.0,5.09,5.21,4.27,4.35,4.21,4.46,3.62,4.22,4.13,5.38,5.41,4.46,4.68,4.48,4.77,4.15,4.58,4.46
1.5,4.79,5.2,4.63,4.07,4.06,4.28,4.29,4.06,3.88,5.09,5.43,4.86,4.33,4.27,4.61,4.67,4.3,4.17
2.0,4.76,5.28,4.28,4.21,4.19,4.26,4.1,4.03,4.13,5.07,5.59,4.6,4.67,4.55,4.41,4.44,4.43,4.39
2.5,4.54,5.1,4.54,4.02,4.38,4.12,4.32,4.29,3.96,4.73,5.37,4.79,4.18,4.65,4.33,4.62,4.54,4.12
3.0,4.88,5.01,4.64,4.52,4.33,4.05,4.2,4.08,4.08,5.17,5.27,4.85,4.62,4.54,4.28,4.4,4.34,4.46
3.5,4.74,4.96,4.45,4.03,4.14,4.57,4.15,4.03,4.21,4.97,5.26,4.67,4.22,4.33,4.66,4.5,4.37,4.57
4.0,4.84,5.29,4.48,4.22,3.92,4.34,4.33,4.29,4.23,5.11,5.73,4.88,4.42,4.16,4.51,4.64,4.54,4.52
4.5,4.65,4.89,4.88,4.17,4.37,3.96,4.32,4.21,4.24,5.04,5.17,5.07,4.56,4.78,4.27,4.49,4.54,4.57
5.0,4.69,4.96,4.34,4.21,4.48,4.29,4.28,3.95,4.2,4.93,5.22,4.72,4.59,4.73,4.57,4.37,4.26,4.42
5.5,4.69,5.38,4.68,4.26,4.42,4.06,4.04,4.56,4.68,4.93,5.59,5.09,4.6,4.79,4.37,4.28,4.67,4.96
6.0,4.66,5.02,4.22,4.02,4.37,4.12,4.05,4.36,4.23,5.06,5.27,4.67,4.24,4.76,4.5,4.18,4.77,4.46
6.5,4.9,5.04,4.57,4.05,4.23,4.46,4.19,4.09,4.25,5.17,5.24,4.88,4.49,4.56,4.67,4.55,4.3,4.62
7.0,4.96,5.28,4.38,3.77,4.26,4.48,4.02,3.96,4.15,5.22,5.41,4.87,4.07,4.66,4.79,4.43,4.28,4.43
7.5,4.57,5.34,4.54,4.24,4.09,4.21,4.29,4.49,3.77,4.73,5.55,4.78,4.52,4.53,4.53,4.48,4.81,4.21
8.0,4.69,5.04,4.76,4.31,4.12,4.39,4.14,4.21,3.92,4.91,5.44,4.93,4.69,4.44,4.62,4.63,4.54,4.21
8.5,4.83,5.01,4.2,4.36,4.15,3.98,4.17,4.26,4.25,5.13,5.33,4.57,4.62,4.48,4.17,4.3,4.56,4.59
9.0,4.68,5.17,4.56,4.43,3.96,4.29,4.29,4.42,4.02,4.88,5.46,4.84,4.76,4.44,4.43,4.48,4.72,4.33
9.5,4.74,4.84,4.49,4.23,4.12,4.31,3.98,4.0,3.74,4.85,5.14,4.8,4.46,4.44,4.49,4.25,4.15,4.05
